Series Name,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",Afghanistan,AFG,38041757,38928341,39835428
"Population, total",Albania,ALB,2854191,2837849,2811666
"Population, total",Algeria,DZA,43053054,43851043,44616626
"Population, total",American Samoa,ASM,55312,55197,55103
"Population, total",Andorra,AND,77146,77265,77354
"Population, total",Angola,AGO,31825299,32866268,33933611
"Population, total",Antigua and Barbuda,ATG,97115,97928,98728
"Population, total",Argentina,ARG,44938712,45376763,45808747
"Population, total",Armenia,ARM,2957728,2963234,2968128
"Population, total",Aruba,ABW,106310,106766,107195
"Population, total",Australia,AUS,25365745,25693267,25739256
"Population, total",Austria,AUT,8879920,8916864,8956279
"Population, total",Azerbaijan,AZE,10024283,10093121,10145212
"Population, total","Bahamas, The",BHS,389486,393248,396914
"Population, total",Bahrain,BHR,1641164,1701583,1748295
"Population, total",Bangladesh,BGD,163046173,164689383,166303494
"Population, total",Barbados,BRB,287021,287371,287708
"Population, total",Belarus,BLR,9419758,9379952,9340314
"Population, total",Belgium,BEL,11488980,11544241,11587882
"Population, total",Belize,BLZ,390351,397621,404915
"Population, total",Benin,BEN,11801151,12123198,12451031
"Population, total",Bermuda,BMU,63911,63893,63867
"Population, total",Bhutan,BTN,763094,771612,779900
"Population, total",Bolivia,BOL,11513102,11673029,11832936
"Population, total",Bosnia and Herzegovina,BIH,3300998,3280815,3263459
"Population, total",Botswana,BWA,2303703,2351625,2397240
"Population, total",Brazil,BRA,211049519,212559409,213993441
"Population, total",British Virgin Islands,VGB,30033,30237,30423
"Population, total",Brunei Darussalam,BRN,433296,437483,441532
"Population, total",Bulgaria,BGR,6975761,6934015,6899125
"Population, total",Burkina Faso,BFA,20321383,20903278,21497097
"Population, total",Burundi,BDI,11530577,11890781,12255429
"Population, total",Cabo Verde,CPV,549936,555988,561901
"Population, total",Cambodia,KHM,16486542,16718971,16946446
"Population, total",Cameroon,CMR,25876387,26545864,27224262
"Population, total",Canada,CAN,37601230,38037204,38246108
"Population, total",Cayman Islands,CYM,64948,65720,66498
"Population, total",Central African Republic,CAF,4745179,4829764,4919987
"Population, total",Chad,TCD,15946882,16425859,16914985
"Population, total",Channel Islands,CHI,172264,173859,175244
"Population, total",Chile,CHL,18952035,19116209,19212362
"Population, total",China,CHN,1407745000,1411100000,1412360000
"Population, total",Colombia,COL,50339443,50882884,51265841
"Population, total",Comoros,COM,850891,869595,888456
"Population, total","Congo, Dem. Rep.",COD,86790568,89561404,92377986
"Population, total","Congo, Rep.",COG,5380504,5518092,5657017
"Population, total",Costa Rica,CRI,5047561,5094114,5139053
"Population, total",Cote d'Ivoire,CIV,25716554,26378275,27053629
"Population, total",Croatia,HRV,4065253,4047680,3899000
"Population, total",Cuba,CUB,11333484,11326616,11317498
"Population, total",Curacao,CUW,157441,154947,152369
"Population, total",Cyprus,CYP,1198574,1207361,1215588
"Population, total",Czech Republic,CZE,10671870,10697858,10703446
"Population, total",Denmark,DNK,5814422,5831404,5856733
"Population, total",Djibouti,DJI,973557,988002,1002197
"Population, total",Dominica,DMA,71808,71991,72172
"Population, total",Dominican Republic,DOM,10738957,10847904,10953714
"Population, total",Ecuador,ECU,17373657,17643060,17888474
"Population, total","Egypt, Arab Rep.",EGY,100388076,102334403,104258327
"Population, total",El Salvador,SLV,6453550,6486201,6518500
"Population, total",Equatorial Guinea,GNQ,1355982,1402985,1449891
"Population, total",Eritrea,ERI,..,..,..
"Population, total",Estonia,EST,1326855,1329479,1329254
"Population, total",Eswatini,SWZ,1148133,1160164,1172369
"Population, total",Ethiopia,ETH,112078727,114963583,117876226
"Population, total",Faroe Islands,FRO,48677,48865,49053
"Population, total",Fiji,FJI,889955,896444,902899
"Population, total",Finland,FIN,5521606,5529543,5541696
"Population, total",France,FRA,67248926,67379908,67499343
"Population, total",French Polynesia,PYF,279285,280904,282534
"Population, total",Gabon,GAB,2172578,2225728,2278829
"Population, total","Gambia, The",GMB,2347696,2416664,2486937
"Population, total",Georgia,GEO,3720161,3722716,3708610
"Population, total",Germany,DEU,83092962,83160871,83129285
"Population, total",Ghana,GHA,30417858,31072945,31732128
"Population, total",Gibraltar,GIB,33706,33691,33691
"Population, total",Greece,GRC,10721582,10700556,10664568
"Population, total",Greenland,GRL,56225,56367,56653
"Population, total",Grenada,GRD,112002,112519,113015
"Population, total",Guam,GUM,167295,168783,170184
"Population, total",Guatemala,GTM,16604026,16858333,17109746
"Population, total",Guinea,GIN,12771246,13132792,13497237
"Population, total",Guinea-Bissau,GNB,1920917,1967998,2015490
"Population, total",Guyana,GUY,782775,786559,790329
"Population, total",Haiti,HTI,11263079,11402533,11541683
"Population, total",Honduras,HND,9746115,9904608,10062994
"Population, total","Hong Kong SAR, China",HKG,7507900,7481000,7413100
"Population, total",Hungary,HUN,9771141,9750149,9709886
"Population, total",Iceland,ISL,360563,366463,372295
"Population, total",India,IND,1366417756,1380004385,1393409033
"Population, total",Indonesia,IDN,270625567,273523621,276361788
"Population, total","Iran, Islamic Rep.",IRN,82913893,83992953,85028760
"Population, total",Iraq,IRQ,39309789,40222503,41179351
"Population, total",Ireland,IRL,4934340,4985674,5028230
"Population, total",Isle of Man,IMN,84589,85032,85410
"Population, total",Israel,ISR,9054000,9215100,9364000
"Population, total",Italy,ITA,59729081,59449527,59066225
"Population, total",Jamaica,JAM,2948277,2961161,2973462
"Population, total",Japan,JPN,126633000,126261000,125681593
"Population, total",Jordan,JOR,10101697,10203140,10269022
"Population, total",Kazakhstan,KAZ,18513673,18755666,19002586
"Population, total",Kenya,KEN,52573967,53771300,54985702
"Population, total",Kiribati,KIR,117608,119446,121388
"Population, total","Korea, Dem. People's Rep.",PRK,25666158,25778815,25887045
"Population, total","Korea, Rep.",KOR,51764822,51836239,51744876
"Population, total",Kosovo,XKX,1788878,1790133,1806279
"Population, total",Kuwait,KWT,4207077,4270563,4328553
"Population, total",Kyrgyz Republic,KGZ,6456200,6579900,6694200
"Population, total",Lao PDR,LAO,7169456,7275556,7379358
"Population, total",Latvia,LVA,1913822,1900449,1883162
"Population, total",Lebanon,LBN,6855709,6825442,6769151
"Population, total",Lesotho,LSO,2125267,2142252,2159067
"Population, total",Liberia,LBR,4937374,5057677,5180208
"Population, total",Libya,LBY,6777453,6871287,6958538
"Population, total",Liechtenstein,LIE,38020,38137,38254
"Population, total",Lithuania,LTU,2794137,2794885,2795321
"Population, total",Luxembourg,LUX,620001,630419,639070
"Population, total","Macao SAR, China",MAC,640446,649342,658391
"Population, total",Madagascar,MDG,26969306,27691019,28427333
"Population, total",Malawi,MWI,18628749,19129955,19647681
"Population, total",Malaysia,MYS,31949789,32365998,32776195
"Population, total",Maldives,MDV,530957,540542,543620
"Population, total",Mali,MLI,19658023,20250834,20855724
"Population, total",Malta,MLT,504062,515332,516869
"Population, total",Marshall Islands,MHL,58791,59194,59618
"Population, total",Mauritania,MRT,4525698,4649660,4775110
"Population, total",Mauritius,MUS,1265711,1265740,1266060
"Population, total",Mexico,MEX,127575529,128932753,130262220
"Population, total","Micronesia, Fed. Sts.",FSM,113811,115021,116255
"Population, total",Moldova,MDA,2664974,2620495,2573928
"Population, total",Monaco,MCO,38967,39244,39520
"Population, total",Mongolia,MNG,3225166,3278292,3329282
"Population, total",Montenegro,MNE,622028,621306,620173
"Population, total",Morocco,MAR,36471766,36910558,37344787
"Population, total",Mozambique,MOZ,30366043,31255435,32163045
"Population, total",Myanmar,MMR,54045422,54409794,54806014
"Population, total",Namibia,NAM,2494524,2540916,2587344
"Population, total",Nauru,NRU,10764,10834,10873
"Population, total",Nepal,NPL,28608715,29136808,29674920
"Population, total",Netherlands,NLD,17344874,17441500,17533405
"Population, total",New Caledonia,NCL,271300,271960,272620
"Population, total",New Zealand,NZL,4979200,5090200,5122600
"Population, total",Nicaragua,NIC,6545503,6624554,6702379
"Population, total",Niger,NER,23310719,24206636,25130810
"Population, total",Nigeria,NGA,200963603,206139587,211400704
"Population, total",North Macedonia,MKD,2076694,2072531,2065092
"Population, total",Northern Mariana Islands,MNP,57213,57557,57910
"Population, total",Norway,NOR,5347896,5379475,5408320
"Population, total",Oman,OMN,4974992,5106622,5223376
"Population, total",Pakistan,PAK,216565317,220892331,225199929
"Population, total",Palau,PLW,18001,18092,18174
"Population, total",Panama,PAN,4246440,4314768,4381583
"Population, total",Papua New Guinea,PNG,8776119,8947027,9119005
"Population, total",Paraguay,PRY,7044639,7132530,7219641
"Population, total",Peru,PER,32510462,32971846,33359416
"Population, total",Philippines,PHL,108116622,109581085,111046910
"Population, total",Poland,POL,37965475,37899070,37781024
"Population, total",Portugal,PRT,10286263,10297081,10299423
"Population, total",Puerto Rico,PRI,3193694,3281538,3263584
"Population, total",Qatar,QAT,2832071,2881060,2930524
"Population, total",Romania,ROU,19371648,19257520,19115146
"Population, total",Russian Federation,RUS,144406261,144073139,143446060
"Population, total",Rwanda,RWA,12626938,12952209,13276517
"Population, total",Samoa,WSM,197093,198410,200144
"Population, total",San Marino,SMR,33864,33938,34010
"Population, total",Sao Tome and Principe,STP,215048,219161,223364
"Population, total",Saudi Arabia,SAU,34268529,34813867,35340680
"Population, total",Senegal,SEN,16296362,16743930,17196308
"Population, total",Serbia,SRB,6945235,6899126,6844078
"Population, total",Seychelles,SYC,97625,98462,99202
"Population, total",Sierra Leone,SLE,7813207,7976985,8141343
"Population, total",Singapore,SGP,5703569,5685807,5453566
"Population, total",Sint Maarten (Dutch part),SXM,41608,42310,42846
"Population, total",Slovak Republic,SVK,5454147,5458827,5447247
"Population, total",Slovenia,SVN,2088385,2102419,2107007
"Population, total",Solomon Islands,SLB,669821,686878,703995
"Population, total",Somalia,SOM,15442906,15893219,16359500
"Population, total",South Africa,ZAF,58558267,59308690,60041996
"Population, total",South Sudan,SSD,11062114,11193729,11381377
"Population, total",Spain,ESP,47134837,47363419,47326687
"Population, total",Sri Lanka,LKA,21803000,21919000,22156000
"Population, total",St. Kitts and Nevis,KNA,52834,53192,53546
"Population, total",St. Lucia,LCA,182795,183629,184401
"Population, total",St. Martin (French part),MAF,38002,38659,39239
"Population, total",St. Vincent and the Grenadines,VCT,110593,110947,111269
"Population, total",Sudan,SDN,42813237,43849269,44909351
"Population, total",Suriname,SUR,581363,586634,591798
"Population, total",Sweden,SWE,10278887,10353442,10415811
"Population, total",Switzerland,CHE,8575280,8636561,8697723
"Population, total",Syrian Arab Republic,SYR,17070132,17500657,18275704
"Population, total",Tajikistan,TJK,9321023,9537642,9749625
"Population, total",Tanzania,TZA,58005461,59734213,61498438
"Population, total",Thailand,THA,69625581,69799978,69950844
"Population, total",Timor-Leste,TLS,1293120,1318442,1343875
"Population, total",Togo,TGO,8082359,8278737,8478242
"Population, total",Tonga,TON,104497,105697,106759
"Population, total",Trinidad and Tobago,TTO,1394969,1399491,1403374
"Population, total",Tunisia,TUN,11694721,11818618,11935764
"Population, total",Turkiye,TUR,83429607,84339067,85042736
"Population, total",Turkmenistan,TKM,5942094,6031187,6117933
"Population, total",Turks and Caicos Islands,TCA,38194,38718,39226
"Population, total",Tuvalu,TUV,11655,11792,11925
"Population, total",Uganda,UGA,44269587,45741000,47123533
"Population, total",Ukraine,UKR,44386203,44132049,43814581
"Population, total",United Arab Emirates,ARE,9770526,9890400,9991083
"Population, total",United Kingdom,GBR,66836327,67081000,67326569
"Population, total",United States,USA,328329953,331501080,331893745
"Population, total",Uruguay,URY,3461731,3473727,3485152
"Population, total",Uzbekistan,UZB,33580350,34232050,34915100
"Population, total",Vanuatu,VUT,299882,307150,314464
"Population, total","Venezuela, RB",VEN,28515829,28435943,28704947
"Population, total",Vietnam,VNM,96462108,97338583,98168829
"Population, total",Virgin Islands (U.S.),VIR,106669,106290,105870
"Population, total",West Bank and Gaza,PSE,4685306,4803269,4922749
"Population, total","Yemen, Rep.",YEM,29161922,29825968,30490639
"Population, total",Zambia,ZMB,17861034,18383956,18920657
"Population, total",Zimbabwe,ZWE,14645473,14862927,15092171
"Population, total",Africa Eastern and Southern,AFE,660046272,677243299,694665117
"Population, total",Africa Western and Central,AFW,446911598,458803476,470898870
"Population, total",Arab World,ARB,427870273,436080728,444517783
"Population, total",Caribbean small states,CSS,7401389,7442291,7481631
"Population, total",Central Europe and the Baltics,CEB,102398494,102172351,101669618
"Population, total",Early-demographic dividend,EAR,3290291029,3332103561,3373866849
"Population, total",East Asia & Pacific,EAS,2351127942,2361517682,2368622859
"Population, total",East Asia & Pacific (excluding high income),EAP,2103723076,2114009483,2122086315
"Population, total",East Asia & Pacific (IDA & IBRD countries),TEA,2078012370,2088186305,2096155040
"Population, total",Euro area,EMU,342283354,342708355,342566541
"Population, total",Europe & Central Asia,ECS,920807612,922976036,923753699
"Population, total",Europe & Central Asia (excluding high income),ECA,399386100,400895993,401828885
"Population, total",Europe & Central Asia (IDA & IBRD countries),TEC,460788476,462100263,462624055
"Population, total",European Union,EUU,447197811,447479493,446946712
"Population, total",Fragile and conflict affected situations,FCS,940026046,960960554,982980816
"Population, total",Heavily indebted poor countries (HIPC),HPC,801708019,823480038,845522272
"Population, total",High income,HIC,1234830048,1240684527,1241374277
"Population, total",IBRD only,IBD,4826259460,4862446431,4895295243
"Population, total",IDA & IBRD total,IBT,6496952025,6571053159,6642614110
"Population, total",IDA blend,IDB,561571929,574159138,586883422
"Population, total",IDA only,IDX,1109120636,1134447590,1160435445
"Population, total",IDA total,IDA,1670692565,1708606728,1747318867
"Population, total",Late-demographic dividend,LTE,2308520840,2316803603,2322070390
"Population, total",Latin America & Caribbean,LCN,646431661,652365260,658089208
"Population, total",Latin America & Caribbean (excluding high income),LAC,585257302,590928198,596217644
"Population, total",Latin America & the Caribbean (IDA & IBRD countries),TLA,630644771,636492840,642239838
"Population, total",Least developed countries: UN classification,LDC,1033088986,1057131013,1081504804
"Population, total",Low & middle income,LMY,6420460567,6494812232,6566551568
"Population, total",Low income,LIC,665731857,683532991,701926973
"Population, total",Lower middle income,LMC,3274021191,3318682068,3363196656
"Population, total",Middle East & North Africa,MEA,456709496,464542370,472494995
"Population, total",Middle East & North Africa (excluding high income),MNA,389457075,396147843,403051615
"Population, total",Middle East & North Africa (IDA & IBRD countries),TMN,384771769,391344574,398128866
"Population, total",Middle income,MIC,5754728710,5811279241,5864624595
"Population, total",North America,NAC,365995094,369602177,370203720
"Population, total",Not classified,INX,..,..,..
"Population, total",OECD members,OED,1365274704,1372980201,1375820281
"Population, total",Other small states,OSS,31361216,31929881,32464282
"Population, total",Pacific island small states,PSS,2491878,2528958,2566494
"Population, total",Post-demographic dividend,PST,1113142897,1117278019,1116655196
"Population, total",Pre-demographic dividend,PRE,944902748,970795671,997158227
"Population, total",Small states,SST,41254483,41901130,42512407
"Population, total",South Asia,SAS,1835776769,1856882402,1877902324
"Population, total",South Asia (IDA & IBRD),TSA,1835776769,1856882402,1877902324
"Population, total",Sub-Saharan Africa,SSF,1106957870,1136046775,1165563987
"Population, total",Sub-Saharan Africa (excluding high income),SSA,1106860245,1135948313,1165464785
"Population, total",Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957870,1136046775,1165563987
"Population, total",Upper middle income,UMC,2480707519,2492597173,2501427939
"Population, total",World,WLD,7683806444,7763932702,7836630792